Z	Name	A	Configuration
88	Ra	226*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)7s(2)
89	Ac	227*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)6d(1)7s(2)
90	Th	232	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)6d(2)7s(2)
91	Pa	231*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(2)6d(1)7s(2)
92	U	238	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(3)6d(1)7s(2)
93	Np	237*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(4)6d(1)7s(2)
94	Pu	244*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(6)7s(2)
95	Am	243*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(7)7s(2)
96	Cm	247*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(7)6d(1)7s(2)
97	Bk	247*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(8)6d(1)7s(2)
98	Cf	251*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(10)7s(2)
99	Es	252*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(11)7s(2)
